zip,city,loc/0,loc/1,pop,state
2210,BOSTON,-71.046511,42.348921,308,MA
2215,BOSTON,-71.102689,42.347088,17769,MA
2322,AVON,-71.043738,42.125825,4594,MA
2324,BRIDGEWATER,-70.97234,41.977341,21198,MA
2330,CARVER,-70.767754,41.888265,10573,MA
2332,DUXBURY,-70.716257,42.039936,13913,MA
2333,EAST BRIDGEWATER,-70.944964,42.031478,11104,MA
2338,HALIFAX,-70.844794,42.000159,6526,MA
2339,HANOVER,-70.857006,42.121406,11912,MA
2341,HANSON,-70.865053,42.061627,9037,MA
2343,HOLBROOK,-71.008273,42.14641,11041,MA
2346,MIDDLEBORO,-70.892965,41.888396,17867,MA
2347,LAKEVILLE,-70.958195,41.837377,7785,MA
2351,ABINGTON,-70.954293,42.116715,13849,MA
2356,NORTH EASTON,-71.112337,42.058956,10397,MA
2359,PEMBROKE,-70.804404,42.062072,14535,MA
2360,PLYMOUTH,-70.642004,41.910404,45629,MA
2364,KINGSTON,-70.740993,41.995022,9045,MA
2367,PLYMPTON,-70.804582,41.96549,2384,MA
2368,RANDOLPH,-71.051392,42.173587,30057,MA
2370,ROCKLAND,-70.913263,42.129286,16123,MA
2375,SOUTH EASTON,-71.098814,42.025704,9247,MA
2379,WEST BRIDGEWATER,-71.016054,42.025511,6440,MA
2382,WHITMAN,-70.938127,42.081603,13208,MA
2401,BROCKTON,-71.034348,42.081571,59498,MA
2402,BROCKTON,-71.001947,42.088396,33290,MA
2532,ONSET,-70.593168,41.752918,12047,MA
2535,CHILMARK,-70.741613,41.357523,952,MA
2536,TEATICKET,-70.565174,41.58504,15976,MA
2537,EAST SANDWICH,-70.46822,41.684603,7254,MA
2538,EAST WAREHAM,-70.653237,41.768247,4778,MA
2539,EDGARTOWN,-70.533893,41.388856,3062,MA
2540,FALMOUTH,-70.621663,41.564754,8588,MA
2542,OTIS A F B,-70.57383,41.660927,2078,MA
2543,WOODS HOLE,-70.66431,41.526272,833,MA
2554,NANTUCKET,-70.093216,41.272529,6012,MA
2556,NORTH FALMOUTH,-70.623043,41.641677,2651,MA
2559,POCASSET,-70.610512,41.688115,3907,MA
2563,SANDWICH,-70.469325,41.698304,9007,MA
2568,VINEYARD HAVEN,-70.593737,41.449955,5924,MA
2571,WAREHAM,-70.711594,41.754084,9304,MA
2575,WEST TISBURY,-70.655802,41.413717,1603,MA
2576,WEST WAREHAM,-70.764179,41.779617,3919,MA
2601,WEST YARMOUTH,-70.298176,41.653682,14543,MA
2630,BARNSTABLE,-70.300067,41.698289,1776,MA
2631,BREWSTER,-70.069868,41.749179,8535,MA
2632,CENTERVILLE,-70.353196,41.660585,10636,MA
2633,SOUTH CHATHAM,-69.980758,41.687634,4744,MA
2635,COTUIT,-70.433431,41.696025,3266,MA
2638,DENNIS,-70.191054,41.732166,3216,MA
2639,DENNIS PORT,-70.132711,41.664873,2510,MA
2642,EASTHAM,-69.984865,41.840781,4582,MA
2644,FORESTDALE,-70.514317,41.682695,2712,MA
2645,HARWICH,-70.057929,41.70082,7363,MA
2646,HARWICH PORT,-70.076755,41.67128,1843,MA
2648,MARSTONS MILLS,-70.416321,41.670274,5777,MA
2649,MASHPEE,-70.485361,41.618116,4469,MA
2650,NORTH CHATHAM,-69.966607,41.70298,995,MA
2652,NORTH TRURO,-70.08751,42.033779,834,MA
2653,ORLEANS,-69.982198,41.779161,5860,MA
2655,OSTERVILLE,-70.383726,41.63005,2330,MA
2657,PROVINCETOWN,-70.186504,42.053364,3561,MA
2659,SOUTH CHATHAM,-70.024106,41.680126,840,MA
2660,SOUTH DENNIS,-70.15851,41.709711,6680,MA
2664,BASS RIVER,-70.19731,41.672805,8514,MA
2666,TRURO,-70.056362,41.998792,739,MA
2667,WELLFLEET,-70.018587,41.928934,2373,MA
2668,WEST BARNSTABLE,-70.371985,41.700212,2311,MA
2670,WEST DENNIS,-70.168092,41.662557,1347,MA
2671,WEST HARWICH,-70.113501,41.669367,1061,MA
2673,WEST YARMOUTH,-70.236297,41.661367,6972,MA
2675,YARMOUTH PORT,-70.227014,41.705149,5735,MA
2702,ASSONET,-71.060736,41.797458,3614,MA
2703,ATTLEBORO,-71.30092,41.929599,38528,MA
2713,CUTTYHUNK,-70.87854,41.443601,98,MA
2715,DIGHTON,-71.142723,41.812505,1828,MA
2717,EAST FREETOWN,-70.967709,41.763455,4883,MA
2718,EAST TAUNTON,-71.019225,41.873585,4800,MA
2719,FAIRHAVEN,-70.889608,41.640924,16141,MA
2720,FALL RIVER,-71.139991,41.718221,30600,MA
2721,FALL RIVER,-71.157424,41.688305,26884,MA
2723,FALL RIVER,-71.133214,41.692612,16801,MA
2724,FALL RIVER,-71.174822,41.684975,18141,MA
2725,SOMERSET,-71.177971,41.722299,2528,MA
2726,SOMERSET,-71.149206,41.756012,15117,MA
2738,MARION,-70.761261,41.709526,4496,MA
2739,MATTAPOISETT,-70.816357,41.661845,5850,MA
2740,NEW BEDFORD,-70.9372,41.634749,46426,MA
2743,ACUSHNET,-70.908652,41.6997,9601,MA
2744,NEW BEDFORD,-70.916746,41.612716,13424,MA
2745,NEW BEDFORD,-70.935545,41.691337,23661,MA
2746,NEW BEDFORD,-70.93243,41.659972,16236,MA
2747,NORTH DARTMOUTH,-70.995769,41.633789,16383,MA
2748,PADANARAM VILLAG,-70.956521,41.591728,10980,MA
2760,NORTH ATTLEBORO,-71.329757,41.977542,22289,MA
2762,PLAINVILLE,-71.327454,42.012403,6874,MA
2763,NORTH ATTLEBORO,-71.310353,41.970979,2737,MA
2764,NORTH DIGHTON,-71.148523,41.852874,3779,MA
2766,NORTON,-71.189441,41.971801,14329,MA
2767,RAYNHAM,-71.046856,41.932361,9804,MA
2769,REHOBOTH,-71.254453,41.85152,7762,MA
2770,ROCHESTER,-70.852257,41.759082,3270,MA
2771,SEEKONK,-71.322406,41.837835,13375,MA
2777,SWANSEA,-71.212167,41.74734,15865,MA
2779,BERKLEY,-71.076534,41.835325,4438,MA
2780,TAUNTON,-71.10261,41.905007,44894,MA
2790,WESTPORT,-71.089003,41.621127,14154,MA
2804,ASHAWAY,-71.783745,41.423054,2472,RI
2806,BARRINGTON,-71.317497,41.744334,15849,RI
2807,BLOCK ISLAND,-71.574825,41.171546,836,RI
2808,BRADFORD,-71.746453,41.411448,2184,RI
2809,BRISTOL,-71.267558,41.68247,21625,RI
2812,RICHMOND,-71.650279,41.46941,1011,RI
2813,CHARLESTOWN,-71.661455,41.400749,6663,RI
2814,CHEPACHET,-71.679483,41.91549,8191,RI
2815,CLAYVILLE,-71.670589,41.777762,45,RI
2816,COVENTRY,-71.576794,41.69143,29842,RI
2817,WEST GREENWICH,-71.643549,41.639977,3246,RI
2818,EAST GREENWICH,-71.474009,41.649777,16180,RI
2822,EXETER,-71.607626,41.574031,3774,RI
2825,FOSTER,-71.718748,41.781455,5175,RI
2827,GREENE,-71.735607,41.706151,1241,RI
2828,GREENVILLE,-71.556923,41.873409,6945,RI
2830,HARRISVILLE,-71.653405,41.976379,6384,RI
2831,HOPE,-71.561225,41.751603,3653,RI
2832,RICHMOND,-71.734862,41.506974,3466,RI
2835,JAMESTOWN,-71.376108,41.516405,4999,RI
2836,RICHMOND,-71.683992,41.477694,183,RI
2837,LITTLE COMPTON,-71.161215,41.52204,3341,RI
